PRICE/TIER DIFFERENCES (matched products, drs NOT overwritten)
======================================================================
$  XEOMIN® 100u  | peak $409 vs drs $349 ("XEOMIN® 100U")
~  FR-ANTIOX MD ANTI-POLLUTION CONCENTRATE SERUM 30ml  | tiers peak:4 vs drs:0
~  FR-ANTIOX MD ANTI-POLLUTION PROTECT FACIAL CREAM GEL 50ml  | tiers peak:4 vs drs:0
~  FR-ANTIOX MD ANTI-POLLUTION MOISTURIZING FACIAL CREAM 50ml  | tiers peak:4 vs drs:0
~  FERULAC NANO ADDITIVE MIST  | tiers peak:4 vs drs:4
~  FERULAC PEEL CLASSIC 60ml  | tiers peak:4 vs drs:4
~  FERULAC PEEL PLUS  | tiers peak:4 vs drs:4
~  FERULAC VALENCIA PEEL 50ml  | tiers peak:4 vs drs:4
~  FILORGA® PRE PEEL  | tiers peak:4 vs drs:4
~  BCN REVITA-HA  | tiers peak:4 vs drs:4
~  JALUPRO® 2x30mg/3ml + 2x100mg  | tiers peak:4 vs drs:4
~  GARDASIL® 9 (Slovakian)  | tiers peak:4 vs drs:4
~  M-SEQNC EYE GEL  | tiers peak:4 vs drs:4
~  M-SEQNC MULTI ACTION CREAM 30ml  | tiers peak:4 vs drs:4
~  M-SEQNC MULTI ACTION CREAM 50ml  | tiers peak:4 vs drs:4
~  M-SEQNC SERUM  | tiers peak:4 vs drs:4
~  ALIAXIN® SR  | tiers peak:4 vs drs:4
~  BELOTERO® BALANCE  | tiers peak:4 vs drs:4
~  BELOTERO® INTENSE  | tiers peak:4 vs drs:4
~  FILLMED® ART FILLER VOLUME  | tiers peak:4 vs drs:4
~  FILLMED® M-HA 10  | tiers peak:4 vs drs:4
~  FILORGA® ART FILLER UNIVERSAL with Lidocaine  | tiers peak:4 vs drs:4
~  HYLANSES MD HA ADVANCE HYDRATION GEL CREAM 50ml  | tiers peak:4 vs drs:4
~  INTRALINE® FOR MEN  | tiers peak:4 vs drs:4
~  INTRALINE® TWO  | tiers peak:4 vs drs:4
~  PROFHILO® H+L  | tiers peak:4 vs drs:4
~  RESTYLANE® EYELIGHT™  | tiers peak:4 vs drs:4
~  RESTYLANE® LYFT  | tiers peak:4 vs drs:4
~  REVOFIL FINE  | tiers peak:4 vs drs:4
~  REVOFIL PLUS  | tiers peak:4 vs drs:4
~  REVOFIL ULTRA  | tiers peak:4 vs drs:4
~  REVOLAX™ FINE  | tiers peak:4 vs drs:4
~  REVOLAX™ SUB-Q  | tiers peak:4 vs drs:4
~  SAYPHA® FILLER  | tiers peak:4 vs drs:4
~  SAYPHA® RICH  | tiers peak:4 vs drs:4
~  SAYPHA® VOLUME  | tiers peak:4 vs drs:4
~  TEOSYAL® ULTIMATE  | tiers peak:4 vs drs:4
~  SUNEKOS® PERFORMA  | tiers peak:4 vs drs:4
~  VISCODERM® SKINKÒ E + VISCODERM® SKINKÒ KIT  | tiers peak:4 vs drs:4
~  BELOTERO® SOFT with Lidocaine  | tiers peak:4 vs drs:4
~  REVOFIL AQUASHINE BR SOFT FILLER  | tiers peak:4 vs drs:4
~  BELOTERO® REVIVE  | tiers peak:4 vs drs:4
~  REVOFIL AQUASHINE SOFT FILLER  | tiers peak:4 vs drs:4
~  BELOTERO® VOLUME  | tiers peak:4 vs drs:4
~  BELOTERO® VOLUME with Lidocaine  | tiers peak:4 vs drs:4
~  JALUPRO® MOISTURIZING BIOCELLULOSE FACE MASKS (11x8ml)  | tiers peak:4 vs drs:4
~  JALUPRO® MOISTURIZING BIOCELLULOSE FACE MASKS (5x8ml)  | tiers peak:4 vs drs:4
~  SUNEKOS® 1200  | tiers peak:4 vs drs:4
~  SUNEKOS® 200  | tiers peak:4 vs drs:4
~  FILLMED® M-HA 18  | tiers peak:4 vs drs:4
~  NEAUVIA™ ORGANIC INTENSE  | tiers peak:4 vs drs:4
~  NEAUVIA™ ORGANIC INTENSE FLUX  | tiers peak:4 vs drs:4
~  NEAUVIA™ ORGANIC INTENSE LIPS  | tiers peak:4 vs drs:4
~  NEAUVIA™ ORGANIC INTENSE LV  | tiers peak:4 vs drs:4
~  NEAUVIA™ ORGANIC INTENSE ROSE  | tiers peak:4 vs drs:4
~  NEAUVIA™ ORGANIC STIMULATE  | tiers peak:4 vs drs:4
~  EJAL40 Bio-Revitalizing Gel  | tiers peak:4 vs drs:4
~  FILLMED® ART FILLER LIPS SOFT with Lidocaine  | tiers peak:4 vs drs:4
~  REVANESSE® CONTOUR™ with Lidocaine  | tiers peak:4 vs drs:4
~  REVANESSE® KISS™ with Lidocaine  | tiers peak:4 vs drs:4
~  REVANESSE® SHAPE+™ with Lidocaine  | tiers peak:4 vs drs:4
~  REVANESSE® ULTRA™ with Lidocaine  | tiers peak:4 vs drs:4
~  HIDRADERM HYAL FACIAL CREAM  | tiers peak:4 vs drs:4
~  BELOTERO® BALANCE with Lidocaine  | tiers peak:4 vs drs:4
~  BELOTERO® INTENSE with Lidocaine  | tiers peak:4 vs drs:4
~  BELOTERO® LIPS CONTOUR with Lidocaine  | tiers peak:4 vs drs:4
~  BELOTERO® LIPS SHAPE with Lidocaine  | tiers peak:4 vs drs:4
~  JUVÉDERM® VOLBELLA® with Lidocaine  | tiers peak:4 vs drs:4
~  JUVÉDERM® VOLIFT® RETOUCH with Lidocaine  | tiers peak:4 vs drs:4
~  JUVÉDERM® VOLIFT® with Lidocaine  | tiers peak:4 vs drs:4
~  JUVÉDERM® VOLITE® with Lidocaine  (SKINVIVE™)  | tiers peak:4 vs drs:4
~  JUVÉDERM® VOLUX® with Lidocaine  | tiers peak:4 vs drs:4
~  RESTYLANE® 1ml with Lidocaine  | tiers peak:4 vs drs:4
~  RESTYLANE® DEFYNE with Lidocaine  | tiers peak:4 vs drs:4
~  RESTYLANE® LYFT with Lidocaine  | tiers peak:4 vs drs:0
~  RESTYLANE® REFYNE with Lidocaine  | tiers peak:4 vs drs:4
~  RESTYLANE® SKINBOOSTERS™ VITAL LIGHT with Lidocaine  | tiers peak:4 vs drs:4
~  RESTYLANE® SKINBOOSTERS™ VITAL with Lidocaine  | tiers peak:4 vs drs:0
~  RESTYLANE® VOLYME with Lidocaine  | tiers peak:4 vs drs:4
~  REVOLAX™ DEEP with Lidocaine  | tiers peak:4 vs drs:4
~  REVOLAX™ FINE with Lidocaine  | tiers peak:4 vs drs:4
~  BCN LUMEN PEPTIDES  | tiers peak:4 vs drs:4
~  REVOLAX™ SUB-Q with Lidocaine  | tiers peak:4 vs drs:4
~  SAYPHA® FILLER with Lidocaine  | tiers peak:4 vs drs:4
~  SAYPHA® VOLUME PLUS with Lidocaine  | tiers peak:4 vs drs:4
~  SAYPHA® VOLUME with Lidocaine  | tiers peak:4 vs drs:4
~  TEOSYAL® PURESENSE DEEP LINES  | tiers peak:4 vs drs:4
~  TEOSYAL® PURESENSE GLOBAL ACTION  | tiers peak:4 vs drs:4
~  TEOSYAL® PURESENSE KISS  | tiers peak:4 vs drs:4
~  TEOSYAL® PURESENSE REDENSITY I (1x3ml)  | tiers peak:4 vs drs:4
~  TEOSYAL® PURESENSE REDENSITY I (2x1ml)  | tiers peak:4 vs drs:4
~  TEOSYAL® PURESENSE REDENSITY II (2x1ml)  | tiers peak:4 vs drs:4
~  TEOSYAL® PURESENSE ULTIMATE (1x3ml)  | tiers peak:4 vs drs:4
~  TEOSYAL® PURESENSE ULTIMATE (2x1ml)  | tiers peak:4 vs drs:4
~  TEOSYAL® PURESENSE ULTRA DEEP (2x1.2ml)  | tiers peak:4 vs drs:4
~  JUVÉDERM® VOLUMA® with Lidocaine  | tiers peak:4 vs drs:4
~  TEOSYAL® RHA KISS with Lidocaine  | tiers peak:4 vs drs:4
~  TEOSYAL® RHA1  | tiers peak:4 vs drs:4
~  TEOSYAL® RHA2  | tiers peak:4 vs drs:4
~  TEOSYAL® RHA3  | tiers peak:4 vs drs:4
~  TEOSYAL® RHA4  | tiers peak:4 vs drs:4
~  JUVÉDERM® ULTRA 2  | tiers peak:4 vs drs:4
~  JUVÉDERM® ULTRA 3  | tiers peak:4 vs drs:4
~  REVANESSE® PURE™ with Lidocaine  | tiers peak:4 vs drs:4
~  JUVÉDERM® ULTRA 4  | tiers peak:4 vs drs:4
~  JUVÉDERM® ULTRA PLUS XC  | tiers peak:4 vs drs:4
~  JUVÉDERM® ULTRA SMILE  | tiers peak:4 vs drs:4
~  JUVÉDERM® ULTRA XC  | tiers peak:4 vs drs:4
~  VISCODERM® HYDROBOOSTER  | tiers peak:4 vs drs:4
~  HYACORP MLF1® BODY CONTOURING  | tiers peak:4 vs drs:4
~  HYACORP MLF2® BODY CONTOURING  | tiers peak:4 vs drs:4
~  CINGAL®  | tiers peak:4 vs drs:4
~  HYNIDASE® 1500iu (English Alternative)  | tiers peak:4 vs drs:4
~  SYNVISC ONE®  | tiers peak:4 vs drs:4
~  SYNVISC®  | tiers peak:4 vs drs:4
~  REMICADE® 100mg vial (Non-English)  | tiers peak:4 vs drs:4
~  JAYDESS®  | tiers peak:4 vs drs:4
~  EMLA™ 5x30g  | tiers peak:4 vs drs:4
~  EMLA™ 5x5g  | tiers peak:4 vs drs:4
~  SAXENDA® 6mg/ml - 3mg Pen  | tiers peak:4 vs drs:4
~  SAXENDA® 6mg/ml - 3 Syringes (Italian)  | tiers peak:4 vs drs:4
~  DEPO-PROVERA®  | tiers peak:4 vs drs:4
~  DERMALAX™ DEEP PLUS with Lidocaine  | tiers peak:4 vs drs:4
~  DERMALAX™ IMPLANT PLUS with Lidocaine  | tiers peak:4 vs drs:4
~  DERMALAX™ PLUS with Lidocaine  | tiers peak:4 vs drs:4
~  CYTOCARE 502  | tiers peak:4 vs drs:4
~  CYTOCARE 516  | tiers peak:4 vs drs:4
~  CYTOCARE 532  | tiers peak:4 vs drs:4
~  SOFTFIL® PRECISION Micro-Cannula 22G/40mm  | tiers peak:4 vs drs:4
~  SOFTFIL® PRECISION Micro-Cannula 22G/50mm  | tiers peak:4 vs drs:4
~  SOFTFIL® PRECISION Micro-Cannula 25G/40mm  | tiers peak:4 vs drs:4
~  SOFTFIL® PRECISION Micro-Cannula 25G/60mm  | tiers peak:4 vs drs:4
~  SOFTFIL® PRECISION Micro-Cannula 30G/25mm  | tiers peak:4 vs drs:4
~  BCN OCULARE-PEPTIDES  | tiers peak:4 vs drs:4
~  BCN CAPILLUM PEPTIDES  | tiers peak:4 vs drs:4
~  ALIDYA™  | tiers peak:4 vs drs:4
~  ELLANSÉ™ S  | tiers peak:4 vs drs:4
~  PCLA MONO 27G60-100mm  | tiers peak:4 vs drs:4
~  PCLA SCREW 29G38-50mm  | tiers peak:4 vs drs:4
~  PCLA SCREW 29G50-20pcs  | tiers peak:4 vs drs:4
~  SILHOUETTE SOFT® 12 CONES  | tiers peak:4 vs drs:4
~  SILHOUETTE SOFT® 16 CONES  | tiers peak:4 vs drs:4
~  SILHOUETTE SOFT® 8 CONES  | tiers peak:4 vs drs:4
~  INTRALINE® PDO THREADS Cog Dimension 360 C19100M-C-19G 100mm/150m  | tiers peak:4 vs drs:4
~  MONO 29G38  | tiers peak:4 vs drs:0
~  RAINBOW® 3D COG 21G90-L  | tiers peak:4 vs drs:4
~  POWERFILL®  | tiers peak:4 vs drs:4
~  SCULPTRA® 2 vials  | tiers peak:4 vs drs:4
~  REJURAN® HEALER  | tiers peak:4 vs drs:4
~  PHOSPHATIDYLCHOLINE  | tiers peak:4 vs drs:0
~  MIRENA® (Non-English)  | tiers peak:4 vs drs:4
~  BCN TENSIS PEPTIDES  | tiers peak:4 vs drs:4
~  JALUPRO® ENHANCER GEL  | tiers peak:4 vs drs:4
~  RETISES NANOPEEL 1% GEL  | tiers peak:4 vs drs:0
